code,total_score,trend,reversion,volume,close,stop_loss,date
sh.605196,0.714,1.0,0.0,1.0,48.17,42.53,2026-02-25
sz.300917,0.714,1.0,0.0,1.0,42.65,39.11,2026-02-25
sh.600309,0.714,1.0,0.0,1.0,89.71,82.54,2026-02-25
sz.002537,0.714,1.0,0.0,1.0,9.39,8.8,2026-02-25
sh.600550,0.714,1.0,0.0,1.0,17.4,15.47,2026-02-25
sh.600325,0.714,1.0,0.0,1.0,4.51,4.18,2026-02-25
sh.600546,0.714,1.0,0.0,1.0,11.58,10.82,2026-02-24
sz.300623,0.714,1.0,0.0,1.0,35.99,32.51,2026-02-25
sh.605399,0.714,1.0,0.0,1.0,16.28,14.94,2026-02-25
sz.000012,0.714,1.0,0.0,1.0,5.18,4.9,2026-02-25
sh.600507,0.714,1.0,0.0,1.0,6.64,6.19,2026-02-25
sh.600585,0.714,1.0,0.0,1.0,26.38,24.95,2026-02-25
sh.600500,0.714,1.0,0.0,1.0,4.72,4.4,2026-02-25
sz.002678,0.714,1.0,0.0,1.0,6.15,5.57,2026-02-25
sz.002749,0.714,1.0,0.0,1.0,13.9,13.32,2026-02-25
sh.603057,0.714,1.0,0.0,1.0,32.19,28.96,2026-02-25
sh.601375,0.714,1.0,0.0,1.0,4.44,4.29,2026-02-25
sh.512200,0.714,1.0,0.0,1.0,1.578,1.51,2026-02-25
sz.002562,0.714,1.0,0.0,1.0,7.94,7.25,2026-02-25
sh.603336,0.714,1.0,0.0,1.0,10.0,9.22,2026-02-25
sh.600383,0.714,1.0,0.0,1.0,3.43,3.18,2026-02-25
sz.300399,0.714,1.0,0.0,1.0,27.94,25.73,2026-02-25
sz.002146,0.714,1.0,0.0,1.0,1.7,1.56,2026-02-25
sh.600761,0.714,1.0,0.0,1.0,22.97,21.08,2026-02-24
sh.600022,0.714,1.0,0.0,1.0,1.74,1.62,2026-02-25
sz.000683,0.714,1.0,0.0,1.0,9.06,8.27,2026-02-25
sz.000589,0.714,1.0,0.0,1.0,5.17,4.98,2026-02-25
sh.603055,0.714,1.0,0.0,1.0,9.88,9.44,2026-02-25
sh.603989,0.714,1.0,0.0,1.0,19.0,18.0,2026-02-24
sh.603713,0.714,1.0,0.0,1.0,68.66,63.97,2026-02-25
sh.600884,0.714,1.0,0.0,1.0,15.13,13.72,2026-02-25
sh.600871,0.714,1.0,0.0,1.0,3.34,2.99,2026-02-25
sh.600162,0.714,1.0,0.0,1.0,1.95,1.83,2026-02-25
sh.600063,0.714,1.0,0.0,1.0,7.41,6.76,2026-02-25
sh.512070,0.678,0.5,0.5,1.0,0.891,0.86,2026-02-25
sz.002511,0.643,0.8,0.0,1.0,8.78,8.3,2026-02-25
sz.002526,0.643,0.8,0.0,1.0,3.98,3.77,2026-02-25
sz.300814,0.643,0.8,0.0,1.0,91.0,80.03,2026-02-25
sh.603256,0.643,0.8,0.0,1.0,84.27,74.75,2026-02-25
sz.300835,0.643,0.8,0.0,1.0,89.52,79.71,2026-02-25
sh.600428,0.643,0.8,0.0,1.0,8.38,7.81,2026-02-25
sz.002685,0.643,0.8,0.0,1.0,7.38,6.93,2026-02-25
sh.603123,0.643,0.8,0.0,1.0,13.43,12.17,2026-02-25
sh.000003,0.643,0.8,0.0,1.0,267.915,263.69,2026-02-24
sh.603619,0.643,0.8,0.0,1.0,37.8,33.12,2026-02-25
sh.600166,0.643,0.8,0.0,1.0,3.28,3.08,2026-02-24
sz.002936,0.643,0.8,0.0,1.0,1.93,1.88,2026-02-25
sz.300602,0.643,0.8,0.0,1.0,38.0,34.09,2026-02-25
