code,total_score,trend,reversion,volume,close,stop_loss,rsi,mom_20,date,rsi_rank,mom_rank
sz.002106,0.829,0.8,0.0,1.0,12.58,11.9,75.45,0.0873,2026-02-26,0.8817891373801917,0.7332268370607029
sz.300145,0.829,0.8,0.0,1.0,5.04,4.66,70.86,0.0588,2026-02-26,0.7835463258785943,0.6517571884984026
sz.300193,0.829,0.8,0.0,1.0,9.87,9.33,62.9,0.04,2026-02-26,0.4784345047923323,0.560702875399361
sz.002085,0.829,0.8,0.0,1.0,16.45,15.17,61.14,0.0073,2026-02-26,0.40654952076677314,0.3562300319488818
sz.300201,0.829,0.8,0.0,1.0,9.51,8.5,80.63,0.1828,2026-02-26,0.9616613418530351,0.8913738019169329
sz.002334,0.829,0.8,0.0,1.0,10.15,9.46,64.93,0.0764,2026-02-26,0.560702875399361,0.7060702875399361
sz.300172,0.829,0.8,0.0,1.0,6.18,5.79,70.42,0.0457,2026-02-26,0.7699680511182109,0.5958466453674122
sh.601218,0.829,0.8,0.0,1.0,5.77,5.39,67.44,0.0548,2026-02-26,0.6549520766773163,0.634185303514377
sz.002346,0.829,0.8,0.0,1.0,22.7,20.65,74.73,0.0534,2026-02-26,0.865814696485623,0.6261980830670927
sz.002286,0.829,0.8,0.0,1.0,11.61,10.65,79.5,0.1575,2026-02-26,0.950479233226837,0.8674121405750799
sz.002396,0.829,0.8,0.0,1.0,30.86,27.92,64.32,0.0943,2026-02-26,0.5431309904153354,0.7531948881789138
sz.002353,0.829,0.8,0.0,1.0,110.3,95.19,72.57,0.2427,2026-02-26,0.8338658146964856,0.9281150159744409
sh.605058,0.829,0.8,0.0,1.0,34.09,31.92,74.21,0.0607,2026-02-26,0.854632587859425,0.6565495207667732
sz.300442,0.829,0.8,0.0,1.0,102.17,89.05,81.71,0.3092,2026-02-26,0.9712460063897763,0.9616613418530351
sz.000777,0.829,0.8,0.0,1.0,26.32,24.0,59.14,-0.0526,2026-02-26,0.3274760383386581,0.10862619808306709
sh.601096,0.829,0.8,0.0,1.0,6.74,5.94,81.35,0.3216,2026-02-26,0.9680511182108626,0.9648562300319489
sz.000758,0.829,0.8,0.0,1.0,8.55,7.46,66.2,0.1089,2026-02-26,0.6070287539936102,0.7827476038338658
sh.601882,0.829,0.8,0.0,1.0,22.06,20.7,77.54,0.0575,2026-02-26,0.9249201277955271,0.646964856230032
sz.000581,0.829,0.8,0.0,1.0,24.89,23.24,79.56,0.1534,2026-02-26,0.952076677316294,0.8610223642172524
sz.000155,0.829,0.8,0.0,1.0,13.89,12.67,68.22,0.0718,2026-02-26,0.6884984025559105,0.6924920127795527
sz.003031,0.829,0.8,0.0,1.0,82.54,71.78,62.27,0.079,2026-02-26,0.4512779552715655,0.7124600638977636
sz.002296,0.829,0.8,0.0,1.0,14.56,13.22,71.25,0.1313,2026-02-26,0.7987220447284346,0.8322683706070287
sz.002416,0.829,0.8,0.0,1.0,14.29,13.25,69.06,0.0295,2026-02-26,0.7180511182108626,0.5071884984025559
sz.300990,0.829,0.8,0.0,1.0,94.85,82.37,67.37,0.053,2026-02-26,0.6517571884984026,0.6222044728434505
sz.002536,0.829,0.8,0.0,1.0,32.04,27.63,63.83,0.0802,2026-02-26,0.5303514376996805,0.7172523961661342
sz.300001,0.829,0.8,0.0,1.0,29.46,27.25,68.15,0.0229,2026-02-26,0.6869009584664537,0.4528753993610224
sh.600038,0.829,0.8,0.0,1.0,39.02,36.79,64.94,0.0083,2026-02-26,0.5623003194888179,0.36421725239616615
sz.002756,0.829,0.8,0.0,1.0,59.0,51.64,71.93,0.1238,2026-02-26,0.8130990415335463,0.8194888178913738
sh.600114,0.829,0.8,0.0,1.0,35.85,32.61,71.21,0.0028,2026-02-26,0.7971246006389776,0.3402555910543131
sh.600478,0.829,0.8,0.0,1.0,8.14,7.49,78.74,0.0926,2026-02-26,0.9376996805111821,0.7492012779552716
sz.300400,0.829,0.8,0.0,1.0,22.83,20.88,70.14,0.0244,2026-02-26,0.7635782747603834,0.4712460063897764
sz.301322,0.829,0.8,0.0,1.0,35.13,32.39,84.41,0.1941,2026-02-26,0.987220447284345,0.9033546325878594
