date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2024-10-14,sz.000791,6.0067313400,6.1233669000,5.9484135600,6.0650491200,5.9581331900,24603456,152797735.4100,2,1.537200,1,1.794500,17.675023,1.132320,3.575470,-37.629643,0
2024-10-15,sz.000791,6.1233669000,6.4149558000,6.1136472700,6.2302828300,6.0650491200,62884623,404118983.6000,2,3.929000,1,2.724400,18.156554,1.163169,3.672879,-38.654809,0
2024-10-16,sz.000791,6.1233669000,6.2691613500,6.0358902300,6.1233669000,6.2302828300,30849228,195529942.4200,2,1.927400,1,-1.716100,17.844975,1.143208,3.609850,-37.991466,0
2024-10-17,sz.000791,6.1816846800,6.5121521000,6.1622454200,6.2497220900,6.1233669000,37602065,243821316.6300,2,2.349400,1,2.063500,18.213205,1.166798,3.684339,-38.775417,0
2024-10-18,sz.000791,6.2497220900,6.3663576500,6.1039276400,6.2691613500,6.2497220900,42519203,272102384.8600,2,2.656600,1,0.311000,18.269855,1.170427,3.695799,-38.896025,0
2024-10-21,sz.000791,6.2205632000,6.2594417200,6.0650491200,6.1039276400,6.2691613500,35623422,224591628.2600,2,2.225700,1,-2.635700,17.788324,1.139579,3.598390,-37.870859,0
2024-10-22,sz.000791,6.1039276400,6.1816846800,6.0650491200,6.1525257900,6.1039276400,21203461,133933088.3200,2,1.324800,1,0.796200,17.929951,1.148652,3.627040,-38.172378,0
2024-10-23,sz.000791,6.1525257900,6.3955165400,6.1525257900,6.2594417200,6.1525257900,34764049,224754469.1600,2,2.172000,1,1.737800,18.241530,1.168612,3.690069,-38.835721,0
2024-10-24,sz.000791,6.2205632000,6.3566380200,6.1525257900,6.2108435700,6.2594417200,19717002,125875921.6000,2,1.231900,1,-0.776400,18.099903,1.159539,3.661419,-38.534202,0
2024-10-25,sz.000791,6.2205632000,6.2497220900,6.1622454200,6.2400024600,6.2108435700,21629188,138182350.9800,2,1.351400,1,0.469500,18.184879,1.164983,3.678609,-38.715113,0
2024-10-28,sz.000791,6.2983202400,6.4635539500,6.2400024600,6.4635539500,6.2400024600,40792887,267220325.3100,2,2.548700,1,3.582600,18.836363,1.206719,3.810397,-40.102103,0
2024-10-29,sz.000791,6.5315913600,6.5607502500,6.3274791300,6.3663576500,6.4635539500,39119241,259423406.5100,2,2.444200,1,-1.503800,18.040937,1.144504,3.716413,-17.694911,0
2024-10-30,sz.000791,6.3663576500,6.5801895100,6.3274791300,6.5121521000,6.3663576500,37611600,251239651.4000,2,2.350000,1,2.290100,18.454088,1.170714,3.801522,-18.100138,0
2024-10-31,sz.000791,6.6093484000,6.6871054400,6.4635539500,6.5413109900,6.5121521000,47471761,320042169.4300,2,2.966000,1,0.447800,18.536718,1.175956,3.818543,-18.181183,0
2024-11-01,sz.000791,6.4732735800,6.5315913600,6.2886006100,6.3566380200,6.5413109900,32121457,211045211.8100,2,2.006900,1,-2.823200,18.013393,1.142756,3.710739,-17.667895,0
2024-11-04,sz.000791,6.3469183900,6.4052361700,6.2983202400,6.3857969100,6.3566380200,17790953,116172301.9500,2,1.111600,1,0.458700,18.096023,1.147998,3.727761,-17.748941,0
2024-11-05,sz.000791,6.3857969100,6.3857969100,6.3080398700,6.3857969100,6.3857969100,34694685,226825888.1500,2,2.167700,1,0.000000,18.096023,1.147998,3.727761,-17.748941,0
2024-11-06,sz.000791,6.3760772800,6.3760772800,6.2497220900,6.2983202400,6.3857969100,30484707,197933651.8000,2,1.904700,1,-1.369900,17.848133,1.132272,3.676696,-17.505805,0
2024-11-07,sz.000791,6.2497220900,6.4538343200,6.2497220900,6.4441146900,6.2983202400,35928814,236647584.3400,2,2.244800,1,2.314800,18.261284,1.158482,3.761804,-17.911032,0
2024-11-08,sz.000791,6.5413109900,6.5413109900,6.3177595000,6.3469183900,6.4441146900,34371137,226606068.7900,2,2.147500,1,-1.508300,17.985850,1.141009,3.705065,-17.640880,0
2024-11-11,sz.000791,6.4149558000,6.5121521000,6.3469183900,6.4538343200,6.3469183900,29091895,192132418.7000,2,1.817600,1,1.684500,18.288827,1.160230,3.767478,-17.938047,0
2024-11-12,sz.000791,6.4538343200,6.4829932100,6.3274791300,6.3955165400,6.4538343200,24912220,164170984.6000,2,1.556500,1,-0.903600,18.123567,1.149746,3.733435,-17.775956,0
2024-11-13,sz.000791,6.3663576500,6.4246754300,6.2497220900,6.3371987600,6.3955165400,20035040,130173153.6000,2,1.251800,1,-0.911900,17.958306,1.139262,3.699391,-17.613865,0
2024-11-14,sz.000791,6.3274791300,6.3371987600,6.1039276400,6.1330865300,6.3371987600,20944802,133580570.4200,2,1.308600,1,-3.220900,17.379895,1.102568,3.580239,-17.046547,0
2024-11-15,sz.000791,6.1622454200,6.2400024600,5.9970117100,6.0164509700,6.1330865300,17891380,112768395.4000,2,1.117800,1,-1.901700,17.049374,1.081600,3.512152,-16.722366,0
2024-11-18,sz.000791,6.0164509700,6.1622454200,6.0067313400,6.0553294900,6.0164509700,22612011,141536345.8700,2,1.412800,1,0.646200,17.159547,1.088589,3.534848,-16.830426,0
2024-11-19,sz.000791,6.0164509700,6.0844883800,5.9289743000,6.0261706000,6.0553294900,24279113,149667314.4300,2,1.516900,1,-0.481500,17.076917,1.083347,3.517826,-16.749381,0
2024-11-20,sz.000791,6.0067313400,6.0358902300,5.9192546700,6.0261706000,6.0261706000,22076406,135847607.9800,2,1.379300,1,0.000000,17.076917,1.083347,3.517826,-16.749381,0
2024-11-21,sz.000791,6.0164509700,6.0358902300,5.9386939300,5.9678528200,6.0261706000,16597477,102048453.7800,2,1.037000,1,-0.967700,16.911657,1.072863,3.483783,-16.587290,0
2024-11-22,sz.000791,6.0844883800,6.1525257900,5.8414976300,5.8414976300,5.9678528200,33156594,205133270.0200,2,2.071600,1,-2.117300,16.553592,1.050148,3.410022,-16.236094,0
2024-11-25,sz.000791,5.8609368900,5.9289743000,5.8123387400,5.8900957800,5.8414976300,15704926,94783968.8400,2,0.981200,1,0.831900,16.691309,1.058884,3.438391,-16.371169,0
2024-11-26,sz.000791,5.9095350400,5.9095350400,5.8414976300,5.8609368900,5.8900957800,12511496,75571352.5900,2,0.781700,1,-0.495000,16.608679,1.053642,3.421369,-16.290124,0
2024-11-27,sz.000791,5.8414976300,5.9192546700,5.7345817000,5.9192546700,5.8609368900,15201616,91213748.5200,2,0.949800,1,0.995000,16.773939,1.064126,3.455413,-16.452215,0
2024-11-28,sz.000791,5.9484135600,5.9872920800,5.9289743000,5.9386939300,5.9192546700,12445893,76222369.8900,2,0.777600,1,0.328400,16.829026,1.067621,3.466761,-16.506245,0
2024-11-29,sz.000791,5.9386939300,5.9775724500,5.8512172600,5.9386939300,5.9386939300,15040780,91769199.4000,2,0.939700,1,0.000000,16.829026,1.067621,3.466761,-16.506245,0
2024-12-02,sz.000791,5.9484135600,6.0456098600,5.9192546700,6.0164509700,5.9386939300,16618641,102583413.3800,2,1.038300,1,1.309300,17.049374,1.081600,3.512152,-16.722366,0
2024-12-03,sz.000791,6.0261706000,6.0456098600,5.9581331900,6.0164509700,6.0164509700,15055845,92892441.8000,2,0.940700,1,0.000000,30.984683,1.965645,6.382810,-30.390396,0
2024-12-04,sz.000791,5.9970117100,6.0067313400,5.8609368900,5.8803761500,6.0164509700,19208237,117058926.0600,2,1.200100,1,-2.261700,30.283899,1.921188,6.238450,-29.703052,0
2024-12-05,sz.000791,5.8803761500,5.9095350400,5.8414976300,5.8706565200,5.8803761500,14002745,84441543.8500,2,0.874900,1,-0.165300,30.233843,1.918012,6.228138,-29.653956,0
2024-12-06,sz.000791,5.8512172600,5.9484135600,5.8512172600,5.9484135600,5.8706565200,16002978,97272555.2400,2,0.999900,1,1.324500,30.634291,1.943417,6.310630,-30.046724,0
2024-12-09,sz.000791,5.9484135600,5.9775724500,5.8609368900,5.8900957800,5.9484135600,14240060,86540265.6000,2,0.889700,1,-0.980400,30.333955,1.924364,6.248761,-29.752148,0
2024-12-10,sz.000791,5.9970117100,6.0358902300,5.8803761500,5.9095350400,5.8900957800,17856688,109119110.7600,2,1.115700,1,0.330000,30.434067,1.930715,6.269384,-29.850340,0
2024-12-11,sz.000791,5.8998154100,5.9775724500,5.8803761500,5.9775724500,5.9095350400,16521298,101189919.5600,2,1.032200,1,1.151300,30.784459,1.952943,6.341565,-30.194012,0
2024-12-12,sz.000791,5.9678528200,5.9970117100,5.9386939300,5.9775724500,5.9775724500,11455862,70413623.6800,2,0.715800,1,0.000000,30.784459,1.952943,6.341565,-30.194012,0
2024-12-13,sz.000791,5.9678528200,5.9678528200,5.8706565200,5.8803761500,5.9775724500,18828793,114372119.3100,2,1.176400,1,-1.626000,30.283899,1.921188,6.238450,-29.703052,0
2024-12-16,sz.000791,5.8900957800,5.9970117100,5.8706565200,5.9484135600,5.8803761500,16005953,98037415.4300,2,1.000000,1,1.157000,30.634291,1.943417,6.310630,-30.046724,0
2024-12-17,sz.000791,5.9484135600,5.9678528200,5.8317780000,5.8609368900,5.9484135600,14605306,88490048.5200,2,0.912500,1,-1.470600,30.183787,1.914837,6.217827,-29.604861,0
2024-12-18,sz.000791,5.8900957800,5.9678528200,5.8414976300,5.8900957800,5.8609368900,12597080,76590679.0000,2,0.787100,1,0.497500,30.333955,1.924364,6.248761,-29.752148,0
2024-12-19,sz.000791,5.8609368900,5.8706565200,5.7637405900,5.8123387400,5.8900957800,14712056,87886983.1600,2,0.919200,1,-1.320100,29.933507,1.898959,6.166269,-29.359381,0
2024-12-20,sz.000791,5.7928994800,5.8220583700,5.7540209600,5.7540209600,5.8123387400,11899581,70626892.5400,2,0.743500,1,-1.003300,29.633171,1.879906,6.104400,-29.064805,0
2024-12-23,sz.000791,5.8123387400,5.8706565200,5.7540209600,5.7831798500,5.7540209600,14960974,89305317.0300,2,0.934800,1,0.506800,29.783339,1.889433,6.135335,-29.212093,0
2024-12-24,sz.000791,5.7540209600,5.8706565200,5.7443013300,5.8317780000,5.7831798500,13411760,80260139.2000,2,0.838000,1,0.840300,30.033619,1.905310,6.186892,-29.457573,0
2024-12-25,sz.000791,5.8512172600,5.8706565200,5.7540209600,5.8317780000,5.8317780000,11072556,66047299.1800,2,0.691800,1,0.000000,30.033619,1.905310,6.186892,-29.457573,0
2024-12-26,sz.000791,5.8317780000,5.8512172600,5.7831798500,5.7928994800,5.8317780000,10599207,63272656.4500,2,0.662200,1,-0.666700,29.833395,1.892608,6.145646,-29.261189,0
2024-12-27,sz.000791,5.8026191100,6.0747687500,5.7734602200,6.0747687500,5.7928994800,34993770,214903721.0700,2,2.186400,1,4.865800,31.285020,1.984698,6.444679,-30.684972,0
2024-12-30,sz.000791,6.1039276400,6.1136472700,5.9484135600,5.9775724500,6.0747687500,19830944,122273890.6200,2,1.239000,1,-1.600000,30.784459,1.952943,6.341565,-30.194012,0
2024-12-31,sz.000791,5.9775724500,6.0164509700,5.8512172600,5.8609368900,5.9775724500,14514865,88522613.2000,2,0.906900,1,-1.951200,33.661061,2.135433,6.934141,-33.015441,0
2025-01-02,sz.000791,5.8609368900,5.8803761500,5.6276657700,5.6762639200,5.8609368900,25855308,152787039.3400,2,1.615400,1,-3.150900,32.600431,2.068147,6.715653,-31.975153,0
2025-01-03,sz.000791,5.6859835500,5.7734602200,5.6373854000,5.6471050300,5.6762639200,15926542,93244317.2900,2,0.995100,1,-0.513700,32.432963,2.057523,6.681154,-31.810897,0
2025-01-06,sz.000791,5.6373854000,5.6957031800,5.5596283600,5.6762639200,5.6471050300,9546826,55347679.3200,2,0.596500,1,0.516400,32.600431,2.068147,6.715653,-31.975153,0
2025-01-07,sz.000791,5.6665442900,5.6957031800,5.5790676200,5.6471050300,5.6762639200,8161151,47331206.5500,2,0.509900,1,-0.513700,32.432963,2.057523,6.681154,-31.810897,0
2025-01-08,sz.000791,5.6276657700,5.6665442900,5.5401891000,5.6373854000,5.6471050300,9962497,57439118.1000,2,0.622500,1,-0.172100,32.377140,2.053982,6.669655,-31.756145,0
2025-01-09,sz.000791,5.6179461400,5.6179461400,5.5401891000,5.5499087300,5.6373854000,10153654,58147389.9400,2,0.634400,1,-1.551700,31.874736,2.022110,6.566160,-31.263377,0
2025-01-10,sz.000791,5.5499087300,5.5790676200,5.4915909500,5.4915909500,5.5499087300,10226986,58241214.1600,2,0.639000,1,-1.050800,31.539800,2.000861,6.497164,-30.934866,0
