date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2023-06-05,sz.002540,4.7327181000,4.7327181000,4.6815535800,4.7071358400,4.6986084200,5012442,27625137.4200,2,0.572700,1,0.181500,9.898803,1.234630,1.034285,4.991585,0
2023-06-06,sz.002540,4.6815535800,4.7071358400,4.5962793800,4.6133342200,4.7071358400,6011700,32769115.0000,2,0.686900,1,-1.992800,9.701544,1.210027,1.013674,4.892115,0
2023-06-07,sz.002540,4.6218616400,4.6218616400,4.5280600200,4.5536422800,4.6133342200,6427900,34487507.0000,2,0.734500,1,-1.293900,9.576016,1.194371,1.000558,4.828816,0
2023-06-08,sz.002540,4.5365874400,4.5706971200,4.4939503400,4.5195326000,4.5536422800,4221800,22422685.0000,2,0.482400,1,-0.749100,9.504285,1.185424,0.993063,4.792645,0
2023-06-09,sz.002540,4.5451148600,4.5792245400,4.5195326000,4.5536422800,4.5195326000,3607800,19263321.0000,2,0.412200,1,0.754700,9.576016,1.194371,1.000558,4.828816,0
2023-06-12,sz.002540,4.5365874400,4.6815535800,4.5110051800,4.6644987400,4.5536422800,8725300,47245941.0000,2,0.997000,1,2.434500,9.809140,1.223447,1.024916,4.946371,0
2023-06-13,sz.002540,4.6474439000,4.7071358400,4.6303890600,4.6389164800,4.6644987400,5585150,30558260.0000,2,0.638200,1,-0.548400,9.755342,1.216737,1.019295,4.919243,0
2023-06-14,sz.002540,4.6389164800,4.6644987400,4.6218616400,4.6303890600,4.6389164800,3902100,21227772.7500,2,0.445900,1,-0.183800,9.737409,1.214501,1.017421,4.910200,0
2023-06-15,sz.002540,4.6389164800,4.7753552000,4.6133342200,4.7668277800,4.6303890600,9815500,54483528.0000,2,1.121500,1,2.946600,10.024331,1.250287,1.047400,5.054884,0
2023-06-16,sz.002540,4.7497729400,4.8094648800,4.7241906800,4.7924100400,4.7668277800,6549400,36722718.4000,2,0.748300,1,0.536700,10.078129,1.256997,1.053022,5.082012,0
2023-06-19,sz.002540,4.7924100400,4.8009374600,4.7156632600,4.7327181000,4.7924100400,8193950,45551450.5000,2,0.936200,1,-1.245600,9.952601,1.241340,1.039906,5.018713,0
2023-06-20,sz.002540,4.7497729400,4.7583003600,4.6644987400,4.7327181000,4.7327181000,6084500,33679128.0000,2,0.695200,1,0.000000,9.952601,1.241340,1.039906,5.018713,0
2023-06-21,sz.002540,4.7327181000,4.8094648800,4.6986084200,4.7071358400,4.7327181000,6188550,34491530.0000,2,0.707100,1,-0.540500,9.898803,1.234630,1.034285,4.991585,0
2023-06-26,sz.002540,4.6559713200,4.7412455200,4.6474439000,4.6730261600,4.7071358400,6660734,36589586.5200,2,0.761100,1,-0.724600,9.827072,1.225684,1.026790,4.955414,0
2023-06-27,sz.002540,4.6730261600,4.7583003600,4.6474439000,4.7497729400,4.6730261600,5132454,28353435.5700,2,0.586400,1,1.642300,9.988466,1.245814,1.043653,5.036798,0
2023-06-28,sz.002540,4.7497729400,4.8009374600,4.6815535800,4.7924100400,4.7497729400,6964679,38841357.7900,2,0.795800,1,0.897700,10.078129,1.256997,1.053022,5.082012,0
2023-06-29,sz.002540,4.7753552000,4.8435745600,4.7583003600,4.8094648800,4.7924100400,7395800,41683734.0000,2,0.845000,1,0.355900,10.113994,1.261470,1.056769,5.100097,0
2023-06-30,sz.002540,4.8094648800,4.9714858600,4.8009374600,4.9288487600,4.8094648800,12340546,71280850.2000,2,1.410000,1,2.482300,10.365051,1.292783,1.083001,5.226696,0
2023-07-03,sz.002540,4.9288487600,5.0141229600,4.8691568200,4.8862116600,4.9288487600,8663160,49909682.7000,2,0.989900,1,-0.865100,10.275388,1.281600,1.073632,5.181482,0
2023-07-04,sz.002540,4.9032665000,4.9885407000,4.8947390800,4.9544310200,4.8862116600,7886100,45773207.0000,2,0.901100,1,1.396200,10.418849,1.299493,1.088622,5.253824,0
2023-07-05,sz.002540,4.9629584400,5.0055955400,4.9203213400,4.9800132800,4.9544310200,9781792,57164333.2300,2,1.117700,1,0.516400,10.472646,1.306203,1.094243,5.280952,0
2023-07-06,sz.002540,5.0226503800,5.0482326400,4.9373761800,4.9970681200,4.9800132800,10954151,64282425.8800,2,1.251600,1,0.342500,10.508512,1.310676,1.097990,5.299037,0
2023-07-07,sz.002540,4.9885407000,5.0311778000,4.9459036000,5.0055955400,4.9970681200,9894070,57917884.5000,2,1.130500,1,0.170600,10.526444,1.312913,1.099864,5.308080,0
