date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2023-06-06,sh.605167,9.2658011600,9.2953414400,9.0984062400,9.1180997600,9.1673335600,3182800,29776867.0000,2,1.430400,1,-0.537100,26.228926,2.791157,2.036847,59.377059,0
2023-06-07,sh.605167,9.1574868000,9.1574868000,9.0097854000,9.1180997600,9.1180997600,1915500,17669895.0000,2,0.860800,1,0.000000,26.228926,2.791157,2.036847,59.377059,0
2023-06-08,sh.605167,9.1968738400,9.1968738400,9.0196321600,9.0491724400,9.1180997600,2431100,22428292.0000,2,1.092600,1,-0.755900,26.030651,2.770057,2.021450,58.928205,0
2023-06-09,sh.605167,9.0491724400,9.2067206000,8.9999386400,9.1279465200,9.0491724400,2322400,21527602.0000,2,1.043700,1,0.870500,26.257251,2.794171,2.039047,59.441181,0
2023-06-12,sh.605167,9.0491724400,9.1870270800,8.9113178000,8.9802451200,9.1279465200,2411800,22006111.0000,2,1.083900,1,-1.618100,25.832376,2.748958,2.006053,58.479350,0
2023-06-13,sh.605167,8.8719307600,8.9802451200,8.7734631600,8.7931566800,8.9802451200,2436000,21852285.0000,2,1.094800,1,-2.083300,25.294202,2.691688,1.964260,57.261030,0
2023-06-14,sh.605167,8.8030034400,9.0393256800,8.7340761200,9.0097854000,8.7931566800,3261500,29576955.0000,2,1.465700,1,2.463600,25.917351,2.758000,2.012652,58.671716,0
2023-06-15,sh.605167,9.1082530000,9.2461076400,8.9802451200,9.1870270800,9.0097854000,2763543,25603134.5100,2,1.242000,1,1.967200,26.427201,2.812256,2.052245,59.825914,0
2023-06-16,sh.605167,9.1180997600,9.2264141200,9.0688659600,9.1771803200,9.1870270800,2036072,18918062.8400,2,0.915000,1,-0.107200,26.398876,2.809242,2.050045,59.761792,0
2023-06-19,sh.605167,9.1574868000,9.2362608800,8.9703983600,9.0885594800,9.1771803200,2370000,21932723.0000,2,1.065100,1,-0.965700,26.143951,2.782114,2.030249,59.184693,0
2023-06-20,sh.605167,9.0491724400,9.3445752400,8.9507048400,9.1082530000,9.0885594800,3402100,31375240.0000,2,1.528900,1,0.216700,26.200601,2.788143,2.034648,59.312937,0
2023-06-21,sh.605167,9.1476400400,9.1870270800,8.9703983600,9.0491724400,9.1082530000,2927700,27031206.0000,2,1.315700,1,-0.648600,26.030651,2.770057,2.021450,58.928205,0
2023-06-26,sh.605167,9.0097854000,9.0688659600,8.8423904800,8.9507048400,9.0491724400,2553900,23184103.0000,2,1.147700,1,-1.088100,25.747401,2.739915,1.999454,58.286984,0
2023-06-27,sh.605167,8.9900918800,9.2461076400,8.9605516000,9.2362608800,8.9507048400,2588200,24087182.0000,2,1.163200,1,3.190300,26.568825,2.827327,2.063243,60.146524,0
2023-06-28,sh.605167,9.1377932800,9.2658011600,9.0097854000,9.1673335600,9.2362608800,1837700,17038966.0000,2,0.825900,1,-0.746300,26.370551,2.806228,2.047846,59.697670,0
2023-06-29,sh.605167,9.1574868000,9.4135025600,9.1476400400,9.3445752400,9.1673335600,2748800,25997861.0000,2,1.235300,1,1.933400,26.880400,2.860484,2.087439,60.851867,0
2023-06-30,sh.605167,9.3248817200,9.5513572000,9.3248817200,9.5316636800,9.3445752400,2999705,28910913.8600,2,1.348100,1,2.002100,27.418575,2.917753,2.129231,62.070187,0
2023-07-03,sh.605167,9.5513572000,9.6202845200,9.3544220000,9.4135025600,9.5316636800,3405800,32648451.0000,2,1.530600,1,-1.239700,27.078675,2.881583,2.102836,61.300722,0
2023-07-04,sh.605167,9.3741155200,9.5316636800,9.3642687600,9.4922766400,9.4135025600,2326200,22357813.0000,2,1.045400,1,0.836800,27.305275,2.905697,2.120433,61.813699,0
2023-07-05,sh.605167,9.4430428400,10.4375656000,9.4135025600,9.9649211200,9.4922766400,14575200,148513666.7400,2,6.550200,1,4.979300,28.664873,3.050379,2.226015,64.891559,0
2023-07-06,sh.605167,9.8664535200,9.8959938000,9.5316636800,9.7187521200,9.9649211200,10782800,106103989.0000,2,4.845900,1,-2.470400,27.956749,2.975023,2.171024,63.288507,0
2023-07-07,sh.605167,9.6202845200,9.6793650800,9.5218169200,9.5316636800,9.7187521200,4578500,44541042.0000,2,2.057600,1,-1.925000,27.418575,2.917753,2.129231,62.070187,0
2023-07-10,sh.605167,9.5612039600,9.6399780400,9.3839622800,9.5021234000,9.5316636800,4315886,41656365.4600,2,1.939600,1,-0.309900,27.333600,2.908711,2.122633,61.877821,0
2023-07-11,sh.605167,9.4824298800,9.5710507200,9.4036558000,9.5021234000,9.5021234000,2753700,26460102.0000,2,1.237500,1,0.000000,27.333600,2.908711,2.122633,61.877821,0
2023-07-12,sh.605167,9.8467600000,10.0338484400,9.6104377600,9.6990586000,9.5021234000,12021900,119587621.0000,2,5.402700,1,2.072500,27.900099,2.968995,2.166625,63.160263,0
2023-07-13,sh.605167,9.8369132400,10.6738878400,9.8369132400,10.6738878400,9.6990586000,18170610,191710219.4000,2,8.166000,1,10.050800,30.704272,3.267402,2.384387,69.508350,0
2023-07-14,sh.605167,10.9692906400,10.9692906400,10.2504771600,10.3390980000,10.6738878400,26826800,283536530.9300,2,12.056200,1,-3.136500,29.741222,3.164919,2.309600,67.328199,0
2023-07-17,sh.605167,10.3292512400,10.7329684000,10.0535419600,10.2603239200,10.3390980000,18702700,195152391.0000,2,8.405100,1,-0.761900,29.514623,3.140805,2.292003,66.815222,0
2023-07-18,sh.605167,10.1126225200,10.1913966000,9.7482924000,10.1913966000,10.2603239200,14542446,148052107.4100,2,6.535500,1,-0.671800,29.316348,3.119705,2.276606,66.366367,0
2023-07-19,sh.605167,10.1027757600,10.1027757600,9.6301312800,9.7384456400,10.1913966000,15423100,153135355.0000,2,6.931300,1,-4.444400,28.013399,2.981052,2.175423,63.416751,0
2023-07-20,sh.605167,9.7089053600,9.9846146400,9.6498248000,9.7581391600,9.7384456400,11226663,112135053.9200,2,5.045300,1,0.202200,28.070049,2.987080,2.179823,63.544995,0
2023-07-21,sh.605167,9.7089053600,9.8073729600,9.5119701600,9.5513572000,9.7581391600,7281700,71306884.0000,2,3.272400,1,-2.119100,27.475225,2.923782,2.133631,62.198431,0
2023-07-24,sh.605167,9.4627363600,9.7876794400,9.4627363600,9.5612039600,9.5513572000,6299371,61717904.5400,2,2.831000,1,0.103100,27.503550,2.926796,2.135830,62.262553,0
2023-07-25,sh.605167,9.6399780400,9.8467600000,9.6399780400,9.7975262000,9.5612039600,6298700,62333246.0800,2,2.830700,1,2.471700,28.183349,2.999137,2.188621,63.801484,0
2023-07-26,sh.605167,9.7285988800,9.8861470400,9.7285988800,9.8566067600,9.7975262000,5124400,51165578.0000,2,2.302900,1,0.603000,28.353299,3.017222,2.201819,64.186216,0
2023-07-27,sh.605167,9.8467600000,9.9452276000,9.6990586000,9.8467600000,9.8566067600,4182100,41809107.0000,2,1.879500,1,-0.099900,28.324974,3.014208,2.199619,64.122094,0
2023-07-28,sh.605167,9.7679859200,9.9255340800,9.6596715600,9.8270664800,9.8467600000,3758300,37454856.0000,2,1.689000,1,-0.200000,28.268324,3.008180,2.195220,63.993850,0
2023-07-31,sh.605167,9.8566067600,9.9846146400,9.7581391600,9.9058405600,9.8270664800,4418200,44518982.0000,2,1.985600,1,0.801600,28.494924,3.032293,2.212817,64.506827,0
2023-08-01,sh.605167,9.9255340800,10.1027757600,9.8172197200,10.0436952000,9.9058405600,6040275,61369621.7500,2,2.714500,1,1.391700,28.891473,3.074492,2.243612,65.404536,0
2023-08-02,sh.605167,9.9747678800,10.1224692800,9.9156873200,9.9944614000,10.0436952000,5382900,54709782.0000,2,2.419100,1,-0.490200,28.749848,3.059421,2.232614,65.083926,0
2023-08-03,sh.605167,9.9747678800,10.0338484400,9.8369132400,9.9058405600,9.9944614000,3424700,34462112.0000,2,1.539100,1,-0.886700,28.494924,3.032293,2.212817,64.506827,0
2023-08-04,sh.605167,9.8664535200,9.9550743600,9.7778326800,9.8467600000,9.9058405600,4013900,40144091.0000,2,1.803900,1,-0.596400,28.324974,3.014208,2.199619,64.122094,0
2023-08-07,sh.605167,9.8467600000,9.9058405600,9.7089053600,9.7384456400,9.8467600000,3871300,38398196.0000,2,1.739800,1,-1.100000,28.013399,2.981052,2.175423,63.416751,0
2023-08-08,sh.605167,9.7975262000,9.9452276000,9.6596715600,9.7876794400,9.7384456400,6549900,65243546.0000,2,2.943600,1,0.505600,23.544409,2.924529,1.803865,13.092938,0
2023-08-09,sh.605167,9.9353808400,10.0436952000,9.7679859200,9.7975262000,9.7876794400,8431300,84640561.0000,2,3.789100,1,0.100600,23.568095,2.927471,1.805679,13.106110,0
