date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2023-06-02,sz.000823,9.2671284000,9.4488368000,9.1810560000,9.4010188000,9.2384376000,9901173,96792440.3100,2,1.844000,1,1.759800,14.810388,1.204878,0.847744,9.312207,0
2023-06-05,sz.000823,9.4010188000,9.4966548000,9.3818916000,9.4105824000,9.4010188000,6448155,63545413.2000,2,1.200900,1,0.101700,14.825455,1.206103,0.848607,9.321680,0
2023-06-06,sz.000823,9.4105824000,9.4679640000,9.2193104000,9.2288740000,9.4105824000,6743001,65660671.6800,2,1.255800,1,-1.930900,14.539191,1.182815,0.832221,9.141688,0
2023-06-07,sz.000823,9.2097468000,9.3723280000,9.1810560000,9.2958192000,9.2288740000,4888956,47487987.9400,2,0.910500,1,0.725400,14.644657,1.191395,0.838258,9.208001,0
2023-06-08,sz.000823,9.2671284000,9.3532008000,9.1714924000,9.2480012000,9.2958192000,10839196,104841697.7100,2,2.018700,1,-0.514400,14.569324,1.185266,0.833946,9.160635,0
2023-06-09,sz.000823,9.4488368000,9.5540364000,8.8272028000,8.9037116000,9.2480012000,27242721,258368617.7100,2,5.073700,1,-3.722900,14.026929,1.141140,0.802899,8.819598,0
2023-06-12,sz.000823,9.0376020000,9.1428016000,8.9515296000,8.9993476000,8.9037116000,19995861,189279894.2000,2,3.724000,1,1.074100,14.177594,1.153398,0.811523,8.914330,0
2023-06-13,sz.000823,9.0089112000,9.2671284000,8.9324024000,9.2575648000,8.9993476000,13806571,132142597.6000,2,2.571300,1,2.869300,14.584391,1.186492,0.834808,9.170108,0
2023-06-14,sz.000823,9.2001832000,9.2480012000,9.0949836000,9.1332380000,9.2575648000,6852010,65618335.5000,2,1.276100,1,-1.343000,14.388526,1.170558,0.823597,9.046956,0
2023-06-15,sz.000823,9.1810560000,9.2384376000,9.1236744000,9.1523652000,9.1332380000,5620153,53894269.2300,2,1.046700,1,0.209400,14.418659,1.173009,0.825322,9.065902,0
2023-06-16,sz.000823,9.1523652000,9.2384376000,9.0854200000,9.2193104000,9.1523652000,5958542,57209803.4600,2,1.109700,1,0.731500,14.524124,1.181589,0.831359,9.132215,0
2023-06-19,sz.000823,9.2001832000,9.3532008000,9.2001832000,9.3053828000,9.2193104000,7221975,70081260.1100,2,1.345000,1,0.933600,14.659723,1.192621,0.839120,9.217474,0
2023-06-20,sz.000823,9.2671284000,9.3053828000,9.1714924000,9.2288740000,9.3053828000,5433302,52389478.3000,2,1.011900,1,-0.822200,14.539191,1.182815,0.832221,9.141688,0
2023-06-21,sz.000823,9.2671284000,9.2671284000,8.9897840000,9.0376020000,9.2288740000,6787095,64530715.6000,2,1.264000,1,-2.072500,14.237861,1.158301,0.814973,8.952223,0
2023-06-26,sz.000823,8.9610932000,9.0280384000,8.7028760000,8.7124396000,9.0376020000,8639794,79624107.7000,2,1.609100,1,-3.597900,13.725599,1.116626,0.785651,8.630133,0
2023-06-27,sz.000823,8.7315668000,8.8463300000,8.7220032000,8.8176392000,8.7124396000,5852734,53737342.4600,2,1.090000,1,1.207500,13.891331,1.130109,0.795138,8.734338,0
2023-06-28,sz.000823,8.8176392000,8.8750208000,8.6646216000,8.8272028000,8.8176392000,10262275,94259498.3500,2,1.911200,1,0.108500,13.906397,1.131335,0.796000,8.743812,0
2023-06-29,sz.000823,8.8368719000,9.1365907500,8.8175352000,9.0495756000,8.8272035500,10111435,93906174.9000,2,1.883100,1,2.519200,14.102262,1.147269,0.807211,8.866964,0
2023-06-30,sz.000823,9.0302389000,9.1849325000,9.0205705500,9.1655958000,9.0495756000,5595147,52787243.1900,2,1.042100,1,1.282100,14.283061,1.161978,0.817560,8.980644,0
2023-07-03,sz.000823,9.1655958000,9.3106210500,9.1365907500,9.1849325000,9.1655958000,5666308,53944199.8100,2,1.055300,1,0.211000,14.313194,1.164429,0.819285,8.999590,0
2023-07-04,sz.000823,9.1752641500,9.4363096000,9.1269224000,9.4266412500,9.1849325000,10168564,98322067.5200,2,1.893800,1,2.631600,14.689857,1.195072,0.840845,9.236421,0
2023-07-05,sz.000823,9.3782995000,9.5716665000,9.3396261000,9.3686311500,9.4266412500,8293380,81117177.4000,2,1.544600,1,-0.615400,14.599458,1.187718,0.835671,9.179582,0
2023-07-06,sz.000823,9.3396261000,9.5716665000,9.3202894000,9.4749830000,9.3686311500,6256081,61436289.8300,2,1.165100,1,1.135200,14.765190,1.201201,0.845157,9.283788,0
2023-07-07,sz.000823,9.4749830000,9.5233247500,9.2816160000,9.3492944500,9.4749830000,6233297,60344496.6000,2,1.160900,1,-1.326500,14.569325,1.185266,0.833946,9.160635,0
2023-07-10,sz.000823,9.4363096000,9.4459779500,9.2236059000,9.2526109500,9.3492944500,4617656,44309560.2300,2,0.860000,1,-1.034100,14.418660,1.173009,0.825322,9.065903,0
2023-07-11,sz.000823,9.2526109500,9.3976362000,9.2429426000,9.3782995000,9.2526109500,3779705,36578501.0800,2,0.703900,1,1.358400,14.614525,1.188943,0.836533,9.189055,0
2023-07-12,sz.000823,9.2332742500,9.3782995000,9.1269224000,9.1559274500,9.3782995000,8014378,76537083.5500,2,1.492600,1,-2.371100,14.267995,1.160752,0.816698,8.971170,0
2023-07-13,sz.000823,9.2236059000,9.3976362000,9.1462591000,9.3589628000,9.1559274500,6788535,65350973.4500,2,1.264300,1,2.217500,14.584392,1.186492,0.834808,9.170109,0
2023-07-14,sz.000823,9.3686311500,9.4556463000,9.3299577500,9.4363096000,9.3589628000,4923995,47926510.5100,2,0.917100,1,0.826400,14.704924,1.196298,0.841708,9.245895,0
2023-07-17,sz.000823,9.4459779500,9.4749830000,9.3202894000,9.4073045500,9.4363096000,4892667,47606887.9700,2,0.911200,1,-0.307400,14.659724,1.192621,0.839120,9.217475,0
2023-07-18,sz.000823,9.3976362000,9.5233247500,9.3686311500,9.4556463000,9.4073045500,4872065,47714911.7300,2,0.907400,1,0.513900,14.735057,1.198749,0.843432,9.264841,0
2023-07-19,sz.000823,9.4169729000,9.4943197000,9.3492944500,9.3782995000,9.4556463000,3759305,36556443.5500,2,0.700100,1,-0.818000,14.614525,1.188943,0.836533,9.189055,0
2023-07-20,sz.000823,9.3879678500,9.4363096000,9.1365907500,9.1655958000,9.3782995000,6637200,63440095.0000,2,1.236100,1,-2.268000,14.283061,1.161978,0.817560,8.980644,0
2023-07-21,sz.000823,9.1752641500,9.2719476500,9.0495756000,9.0882490000,9.1655958000,5855400,55330726.0000,2,1.090500,1,-0.843900,14.162529,1.152172,0.810661,8.904858,0
2023-07-24,sz.000823,9.0689123000,9.2429426000,9.0109022000,9.1655958000,9.0882490000,3994392,37868190.3200,2,0.743900,1,0.851100,14.283061,1.161978,0.817560,8.980644,0
2023-07-25,sz.000823,9.2236059000,9.3202894000,9.1752641500,9.3106210500,9.1655958000,4426192,42429526.7600,2,0.824300,1,1.582300,14.509059,1.180363,0.830496,9.122742,0
2023-07-26,sz.000823,9.3106210500,9.3106210500,9.1462591000,9.1752641500,9.3106210500,4524498,43013663.9200,2,0.842700,1,-1.453800,14.298128,1.163203,0.818423,8.990117,0
2023-07-27,sz.000823,9.1849325000,9.2139375500,9.0495756000,9.0592439500,9.1752641500,6090249,57564634.0000,2,1.134300,1,-1.264500,14.117329,1.148495,0.808074,8.876438,0
2023-07-28,sz.000823,9.0592439500,9.1462591000,8.9818971500,9.1365907500,9.0592439500,5128511,48171904.9500,2,0.955100,1,0.853800,14.237862,1.158301,0.814973,8.952224,0
2023-07-31,sz.000823,9.1462591000,9.2139375500,9.0882490000,9.1752641500,9.1365907500,6077109,57659679.3000,2,1.131800,1,0.423300,14.298128,1.163203,0.818423,8.990117,0
2023-08-01,sz.000823,9.1559274500,9.2139375500,9.1365907500,9.1559274500,9.1752641500,6048201,57345656.4700,2,1.126400,1,-0.210700,14.267995,1.160752,0.816698,8.971170,0
2023-08-02,sz.000823,9.1559274500,9.2332742500,9.1365907500,9.2042692000,9.1559274500,6557656,62342945.0100,2,1.221300,1,0.528000,14.343327,1.166881,0.821010,9.018537,0
2023-08-03,sz.000823,9.1752641500,9.1946008500,9.1075857000,9.1752641500,9.2042692000,4412651,41750227.9500,2,0.821800,1,-0.315100,14.298128,1.163203,0.818423,8.990117,0
2023-08-04,sz.000823,9.1752641500,9.2622793000,9.1462591000,9.2042692000,9.1752641500,7161635,68229319.5800,2,1.333800,1,0.316100,14.343327,1.166881,0.821010,9.018537,0
2023-08-07,sz.000823,9.1752641500,9.2236059000,9.1075857000,9.1172540500,9.2042692000,3875191,36693986.6700,2,0.721700,1,-0.945400,14.207729,1.155849,0.813248,8.933277,0
2023-08-08,sz.000823,9.1269224000,9.1365907500,9.0205705500,9.0592439500,9.1172540500,3914300,36690671.5000,2,0.729000,1,-0.636300,14.117329,1.148495,0.808074,8.876438,0
2023-08-09,sz.000823,9.0302389000,9.0495756000,8.9142187000,8.9432237500,9.0592439500,5150029,47820776.2500,2,0.959200,1,-1.280700,13.936531,1.133786,0.797725,8.762759,0
2023-08-10,sz.000823,8.9238870500,8.9818971500,8.9045503500,8.9625604500,8.9432237500,3900400,36089090.0000,2,0.726400,1,0.216200,13.966664,1.136238,0.799450,8.781705,0
2023-08-11,sz.000823,8.9528921000,8.9625604500,8.7885301500,8.8078668500,8.9625604500,5631620,51585499.4300,2,1.048800,1,-1.726000,13.725600,1.116626,0.785651,8.630133,0
2023-08-14,sz.000823,8.7885301500,8.8272035500,8.6725099500,8.7981985000,8.8078668500,6605728,59686104.1000,2,1.230300,1,-0.109800,13.710533,1.115401,0.784789,8.620660,0
2023-08-15,sz.000823,8.7885301500,8.8175352000,8.6628416000,8.7208517000,8.7981985000,5006813,45198195.2200,2,0.932500,1,-0.879100,13.590001,1.105595,0.777890,8.544874,0
2023-08-16,sz.000823,8.7111833500,8.7305200500,8.5951631500,8.6144998500,8.7208517000,4798700,43003671.0000,2,0.893700,1,-1.219500,13.424269,1.092112,0.768403,8.440668,0
2023-08-17,sz.000823,8.5758264500,8.7208517000,8.4888113000,8.7015150000,8.6144998500,6024071,53748881.5300,2,1.121900,1,1.010100,13.559868,1.103143,0.776165,8.525927,0
2023-08-18,sz.000823,8.6725099500,8.7208517000,8.5274847000,8.5468214000,8.7015150000,4650564,41514734.4400,2,0.866100,1,-1.777800,13.318804,1.083532,0.762366,8.374355,0
2023-08-21,sz.000823,8.5178163500,8.6144998500,8.5081480000,8.5178163500,8.5468214000,3661800,32424160.0000,2,0.682000,1,-0.339400,13.273604,1.079855,0.759779,8.345936,0
2023-08-22,sz.000823,8.5951631500,8.6048315000,8.4211328500,8.5854948000,8.5178163500,5036810,44321077.7000,2,0.938100,1,0.794600,13.379070,1.088435,0.765816,8.412248,0
2023-08-23,sz.000823,8.5661581000,8.5758264500,8.4114645000,8.4114645000,8.5854948000,3776108,33015330.6800,2,0.703300,1,-2.027000,13.107873,1.066372,0.750293,8.241730,0
2023-08-24,sz.000823,8.4598062500,8.5178163500,8.3631227500,8.4211328500,8.4114645000,3726515,32537834.6500,2,0.694000,1,0.114900,13.122939,1.067598,0.751155,8.251203,0
2023-08-25,sz.000823,8.4114645000,8.4694746000,8.2277658500,8.2857759500,8.4211328500,6148430,53115306.2700,2,1.145100,1,-1.607300,14.842736,1.048263,0.779674,11.034433,0
2023-08-28,sz.000823,8.6241682000,8.6725099500,8.3437860500,8.3631227500,8.2857759500,7704564,67967366.4200,2,1.434900,1,0.933500,14.981292,1.058048,0.786953,11.137438,0
2023-08-29,sz.000823,8.3824594500,8.6338365500,8.3534544000,8.6241682000,8.3631227500,6403917,56590262.5300,2,1.192700,1,3.121400,15.448916,1.091074,0.811516,11.485081,0
2023-08-30,sz.000823,8.6338365500,8.7788618000,8.5758264500,8.7015150000,8.6241682000,6446748,58070798.9300,2,1.200700,1,0.896900,15.587471,1.100860,0.818795,11.588086,0
2023-08-31,sz.000823,8.7015150000,8.7595251000,8.6628416000,8.7208517000,8.7015150000,4914746,44317723.7200,2,0.915300,1,0.222200,15.622110,1.103306,0.820614,11.613838,0
2023-09-01,sz.000823,8.7208517000,8.7981985000,8.6918466500,8.7401884000,8.7208517000,3388379,30612838.6500,2,0.631100,1,0.221700,15.656749,1.105752,0.822434,11.639589,0
2023-09-04,sz.000823,8.7691934500,8.8755453000,8.7401884000,8.8658769500,8.7401884000,6726451,61276419.0600,2,1.252700,1,1.438100,15.881901,1.121654,0.834261,11.806972,0
2023-09-05,sz.000823,8.8755453000,8.9432237500,8.8465402500,8.8948820000,8.8658769500,5537883,50923385.7700,2,1.031400,1,0.327200,15.933859,1.125323,0.836990,11.845599,0
2023-09-06,sz.000823,8.8658769500,9.0399072500,8.8465402500,9.0399072500,8.8948820000,6502236,60410067.5800,2,1.211000,1,1.630400,16.193651,1.143671,0.850637,12.038734,0
2023-09-07,sz.000823,9.0012338500,9.0205705500,8.8368719000,8.8465402500,9.0399072500,6275461,57889529.4500,2,1.168800,1,-2.139000,15.847262,1.119207,0.832441,11.781221,0
2023-09-08,sz.000823,8.8465402500,9.0012338500,8.8175352000,8.9722288000,8.8465402500,3602108,33258285.5500,2,0.670900,1,1.420800,16.072415,1.135108,0.844268,11.948604,0
2023-09-11,sz.000823,8.9625604500,8.9915655000,8.8465402500,8.9528921000,8.9722288000,4982009,46027407.7100,2,0.927900,1,-0.215500,16.037776,1.132662,0.842449,11.922853,0
2023-09-12,sz.000823,8.9722288000,9.0012338500,8.8755453000,8.9625604500,8.9528921000,3543200,32772172.0000,2,0.659900,1,0.108000,16.055095,1.133885,0.843358,11.935729,0
2023-09-13,sz.000823,8.9625604500,8.9625604500,8.7788618000,8.8368719000,8.9625604500,4087402,37407280.3400,2,0.761200,1,-1.402400,15.829943,1.117984,0.831531,11.768345,0
2023-09-14,sz.000823,8.8368719000,8.8852136500,8.7498567500,8.8175352000,8.8368719000,4632181,42261555.8600,2,0.862700,1,-0.218800,15.795304,1.115538,0.829712,11.742594,0
2023-09-15,sz.000823,8.8368719000,8.8948820000,8.7498567500,8.8078668500,8.8175352000,4159000,37869905.0000,2,0.774600,1,-0.109600,15.777985,1.114314,0.828802,11.729718,0
2023-09-18,sz.000823,8.8175352000,8.8562086000,8.7208517000,8.8272035500,8.8078668500,3608092,32855854.2000,2,0.672000,1,0.219500,15.812624,1.116761,0.830622,11.755470,0
2023-09-19,sz.000823,8.8175352000,8.8175352000,8.6628416000,8.6918466500,8.8272035500,4942459,44562936.4100,2,0.920500,1,-1.533400,15.570152,1.099636,0.817885,11.575211,0
2023-09-20,sz.000823,8.6628416000,8.7498567500,8.6338365500,8.6338365500,8.6918466500,2762959,24810980.1800,2,0.514600,1,-0.667400,15.466235,1.092297,0.812426,11.497957,0
2023-09-21,sz.000823,8.6338365500,8.7305200500,8.5854948000,8.6821783000,8.6338365500,3715899,33268461.0800,2,0.692100,1,0.559900,15.552832,1.098413,0.816975,11.562335,0
2023-09-22,sz.000823,8.6821783000,8.8948820000,8.6435049000,8.8852136500,8.6821783000,4929985,44969971.5100,2,0.918200,1,2.338500,15.916540,1.124100,0.836080,11.832724,0
2023-09-25,sz.000823,8.8755453000,8.9142187000,8.8078668500,8.8272035500,8.8852136500,3233301,29576934.1500,2,0.602200,1,-0.652900,15.812624,1.116761,0.830622,11.755470,0
2023-09-26,sz.000823,8.8272035500,8.8465402500,8.7015150000,8.7015150000,8.8272035500,4033459,36470930.5800,2,0.751200,1,-1.423900,15.587471,1.100860,0.818795,11.588086,0
2023-09-27,sz.000823,8.6821783000,8.7788618000,8.6435049000,8.7015150000,8.7015150000,4035725,36438761.3200,2,0.751600,1,0.000000,15.587471,1.100860,0.818795,11.588086,0
2023-09-28,sz.000823,8.7305200500,8.9528921000,8.7111833500,8.9142187000,8.7015150000,6505791,59674235.4600,2,1.211700,1,2.444400,15.968498,1.127769,0.838810,11.871351,0
2023-10-09,sz.000823,8.9142187000,8.9915655000,8.8658769500,8.9142187000,8.9142187000,4720595,43551207.6100,2,0.879200,1,0.000000,15.968499,1.127769,0.838810,11.871351,0
2023-10-10,sz.000823,8.9818971500,9.0109022000,8.9238870500,9.0012338500,8.9142187000,5530666,51329740.7200,2,1.030000,1,0.976100,16.124374,1.138778,0.846998,11.987232,0
2023-10-11,sz.000823,8.9818971500,9.0302389000,8.9142187000,9.0012338500,9.0012338500,6158109,57236340.7000,2,1.146900,1,0.000000,16.124374,1.138778,0.846998,11.987232,0
2023-10-12,sz.000823,9.0399072500,9.0592439500,8.9722288000,9.0399072500,9.0012338500,4426701,41304175.3200,2,0.824400,1,0.429600,16.193651,1.143671,0.850637,12.038735,0
2023-10-13,sz.000823,8.9915655000,9.1849325000,8.9915655000,9.1365907500,9.0399072500,7744231,73128328.3300,2,1.442300,1,1.069500,16.366845,1.155903,0.859734,12.167491,0
2023-10-16,sz.000823,9.1075857000,9.1365907500,8.9625604500,9.0109022000,9.1365907500,5821731,54309236.7600,2,1.084200,1,-1.375700,16.141693,1.140001,0.847907,12.000108,0
2023-10-17,sz.000823,9.0109022000,9.0399072500,8.9045503500,8.9818971500,9.0109022000,4878097,45153553.3100,2,0.908500,1,-0.321900,16.089735,1.136332,0.845178,11.961481,0
2023-10-18,sz.000823,8.9722288000,8.9722288000,8.7595251000,8.7788618000,8.9818971500,5043330,46003821.0000,2,0.939300,1,-2.260500,15.726027,1.110645,0.826073,11.691092,0
2023-10-19,sz.000823,8.7305200500,8.9335554000,8.7208517000,8.7498567500,8.7788618000,4425202,40469519.5900,2,0.824200,1,-0.330400,15.674069,1.106975,0.823344,11.652465,0
2023-10-20,sz.000823,8.7208517000,8.7885301500,8.5178163500,8.5274847000,8.7498567500,5660158,50489331.1400,2,1.054200,1,-2.541400,15.275722,1.078842,0.802419,11.356325,0
2023-10-23,sz.000823,8.5274847000,8.5468214000,8.2374342000,8.3051126500,8.5274847000,5154280,44598578.3600,2,0.959900,1,-2.607700,14.877376,1.050709,0.781494,11.060185,0
2023-10-24,sz.000823,8.3051126500,8.4888113000,8.1987608000,8.4501379000,8.3051126500,6194323,53631151.1500,2,1.153600,1,1.746200,15.137167,1.069057,0.795141,11.253320,0
2023-10-25,sz.000823,8.5081480000,8.5951631500,8.4404695500,8.5371530500,8.4501379000,3972102,35120095.6200,2,0.739800,1,1.029700,15.293042,1.080066,0.803329,11.369201,0
2023-10-26,sz.000823,8.5081480000,8.6241682000,8.4404695500,8.6144998500,8.5371530500,3475249,30651961.2900,2,0.647200,1,0.906000,15.431597,1.089851,0.810607,11.472206,0
2023-10-27,sz.000823,8.5661581000,8.7498567500,8.4888113000,8.7208517000,8.6144998500,4471846,39868736.9200,2,0.832800,1,1.234600,19.377732,1.088136,0.852163,17.637060,0
2023-10-30,sz.000823,8.6628416000,8.9915655000,8.6435049000,8.9722288000,8.7208517000,7984368,73392473.4300,2,1.487000,1,2.882500,19.936291,1.119501,0.876726,18.145445,0
2023-10-31,sz.000823,8.9722288000,9.0399072500,8.9238870500,8.9915655000,8.9722288000,6052872,56279571.8800,2,1.127300,1,0.215500,19.979258,1.121914,0.878616,18.184552,0
2023-11-01,sz.000823,8.9915655000,9.0979173500,8.9528921000,9.0592439500,8.9915655000,6009099,56237586.6400,2,1.119100,1,0.752700,20.129639,1.130358,0.885229,18.321425,0
2023-11-02,sz.000823,9.0495756000,9.0882490000,8.9142187000,8.9432237500,9.0592439500,5082278,47302913.2400,2,0.946500,1,-1.280700,19.871842,1.115882,0.873892,18.086785,0
2023-11-03,sz.000823,8.9432237500,9.2139375500,8.9142187000,9.1752641500,8.9432237500,8419856,79514375.4400,2,1.568100,1,2.594600,20.387436,1.144835,0.896566,18.556064,0
2023-11-06,sz.000823,9.2042692000,9.3976362000,9.1946008500,9.3202894000,9.1752641500,9545250,92069069.0000,2,1.777700,1,1.580600,20.709682,1.162930,0.910737,18.849363,0
2023-11-07,sz.000823,9.3686311500,9.4943197000,9.3009527000,9.4556463000,9.3202894000,8857148,86483980.8300,2,1.649600,1,1.452300,21.010445,1.179819,0.923964,19.123109,0
2023-11-08,sz.000823,9.4363096000,9.5136564000,9.3492944500,9.3976362000,9.4556463000,7267842,70767763.6800,2,1.353600,1,-0.613500,20.881547,1.172581,0.918295,19.005790,0
2023-11-09,sz.000823,9.3782995000,9.4363096000,9.2236059000,9.2622793000,9.3976362000,5377654,51804547.1400,2,1.001500,1,-1.440300,20.580784,1.155692,0.905069,18.732044,0
2023-11-10,sz.000823,9.2719476500,9.3782995000,9.2236059000,9.2719476500,9.2622793000,5232856,50230184.7200,2,0.974600,1,0.104400,20.602267,1.156898,0.906014,18.751597,0
2023-11-13,sz.000823,9.3106210500,9.4169729000,9.2816160000,9.3976362000,9.2719476500,6598207,63967452.1900,2,1.228900,1,1.355600,20.881547,1.172581,0.918295,19.005790,0
2023-11-14,sz.000823,9.3492944500,9.5136564000,9.3492944500,9.4363096000,9.3976362000,4843491,47312552.6600,2,0.902100,1,0.411500,20.967479,1.177406,0.922074,19.084003,0
2023-11-15,sz.000823,9.4846513500,9.4943197000,9.3782995000,9.4073045500,9.4363096000,4041833,39364496.8900,2,0.752800,1,-0.307400,20.903030,1.173787,0.919240,19.025343,0
2023-11-16,sz.000823,9.4073045500,9.4459779500,9.3299577500,9.3396261000,9.4073045500,3133372,30468677.1000,2,0.583600,1,-0.719400,20.752648,1.165343,0.912627,18.888470,0
2023-11-17,sz.000823,9.3492944500,9.4653146500,9.3106210500,9.4459779500,9.3396261000,3854900,37561134.0000,2,0.717900,1,1.138700,20.988962,1.178613,0.923019,19.103556,0
2023-11-20,sz.000823,9.4363096000,9.5233247500,9.4363096000,9.5039880500,9.4459779500,5208022,51114164.1400,2,0.970000,1,0.614100,21.117860,1.185851,0.928688,19.220876,0
2023-11-21,sz.000823,9.5136564000,9.5329931000,9.3009527000,9.3106210500,9.5039880500,5711801,55508980.6600,2,1.063800,1,-2.034600,20.688199,1.161724,0.909793,18.829810,0
2023-11-22,sz.000823,9.3396261000,9.4073045500,9.2816160000,9.2912843500,9.3106210500,4754000,45908292.5100,2,0.885400,1,-0.207700,20.645233,1.159311,0.907903,18.790704,0
