date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2024-10-14,sh.600567,1.6300000000,1.6500000000,1.6000000000,1.6300000000,1.6000000000,153259634,248601576.7400,2,3.102900,1,1.875000,14.885415,0.609944,0.269802,-12.061095,0
2024-10-15,sh.600567,1.6200000000,1.6300000000,1.5800000000,1.5800000000,1.6300000000,125778101,201777985.6500,2,2.546500,1,-3.067500,14.428807,0.591234,0.261526,-11.691123,0
2024-10-16,sh.600567,1.5700000000,1.6100000000,1.5600000000,1.5900000000,1.5800000000,92814555,147513091.9900,2,1.879100,1,0.632900,14.520128,0.594976,0.263181,-11.765118,0
2024-10-17,sh.600567,1.5900000000,1.6100000000,1.5400000000,1.5600000000,1.5900000000,114326501,180378071.3500,2,2.314600,1,-1.886800,14.246164,0.583750,0.258216,-11.543134,0
2024-10-18,sh.600567,1.5600000000,1.6100000000,1.5300000000,1.5900000000,1.5600000000,146171528,229658237.1100,2,2.959400,1,1.923100,14.520128,0.594976,0.263181,-11.765118,0
2024-10-21,sh.600567,1.7300000000,1.7500000000,1.6600000000,1.7500000000,1.5900000000,526220514,910383382.3900,2,10.653800,1,10.062900,15.981274,0.654848,0.289665,-12.949029,0
2024-10-22,sh.600567,1.7400000000,1.7500000000,1.6900000000,1.7200000000,1.7500000000,348073326,597851624.7200,2,7.047000,1,-1.714300,15.707309,0.643622,0.284699,-12.727045,0
2024-10-23,sh.600567,1.7100000000,1.8300000000,1.7000000000,1.7400000000,1.7200000000,352402557,619637530.1300,2,7.134700,1,1.162800,15.889952,0.651106,0.288010,-12.875034,0
2024-10-24,sh.600567,1.7100000000,1.8100000000,1.7100000000,1.7600000000,1.7400000000,270195929,472112442.7800,2,5.470300,1,1.149400,16.072595,0.658590,0.291320,-13.023023,0
2024-10-25,sh.600567,1.7600000000,1.7700000000,1.7300000000,1.7500000000,1.7600000000,267985315,468750281.4600,2,5.425600,1,-0.568200,15.981274,0.654848,0.289665,-12.949029,0
2024-10-28,sh.600567,1.7400000000,1.8300000000,1.7400000000,1.8200000000,1.7500000000,356152766,635859620.4800,2,6.874200,1,4.000000,17.433803,0.714367,0.315993,-14.125959,0
2024-10-29,sh.600567,1.8200000000,1.8300000000,1.7400000000,1.7600000000,1.8200000000,247668521,439370405.1000,2,4.780300,1,-3.296700,16.859062,0.690816,0.305575,-13.660268,0
2024-10-30,sh.600567,1.7500000000,1.7900000000,1.7400000000,1.7700000000,1.7600000000,193283312,341664681.8500,2,3.730600,1,0.568200,16.954852,0.694741,0.307311,-13.737883,0
2024-10-31,sh.600567,1.7500000000,1.8800000000,1.7500000000,1.8300000000,1.7700000000,353514685,644283459.2800,2,6.823300,1,3.389800,27.792518,0.697104,0.320056,-52.640040,0
2024-11-01,sh.600567,1.8400000000,1.8700000000,1.8000000000,1.8100000000,1.8300000000,287925557,526348235.1500,2,5.557400,1,-1.092900,27.488775,0.689485,0.316558,-52.064739,0
2024-11-04,sh.600567,1.8000000000,1.9800000000,1.7600000000,1.9300000000,1.8100000000,448808890,836057703.7900,2,8.662600,1,6.629800,29.311235,0.735197,0.337546,-55.516545,0
2024-11-05,sh.600567,1.9000000000,2.0300000000,1.8800000000,1.9800000000,1.9300000000,478672897,935186898.9300,2,9.239100,1,2.590700,30.070594,0.754243,0.346290,-56.954798,0
2024-11-06,sh.600567,1.9800000000,2.0100000000,1.9300000000,1.9800000000,1.9800000000,377977136,745424444.2200,2,7.295500,1,0.000000,30.070594,0.754243,0.346290,-56.954798,0
2024-11-07,sh.600567,1.9500000000,2.1800000000,1.9400000000,2.1000000000,1.9800000000,570880747,1175025300.3400,2,11.018800,1,6.060600,31.893054,0.799955,0.367278,-60.406603,0
2024-11-08,sh.600567,2.1300000000,2.1300000000,2.0300000000,2.0400000000,2.1000000000,407505856,843728748.9200,2,7.865400,1,-2.857100,30.981824,0.777099,0.356784,-58.680700,0
2024-11-11,sh.600567,2.0200000000,2.0500000000,1.9800000000,2.0200000000,2.0400000000,248381280,499072730.0100,2,4.634700,1,-0.980400,31.733280,0.795948,0.365438,-60.103986,0
2024-11-12,sh.600567,2.0300000000,2.0400000000,1.9400000000,1.9600000000,2.0200000000,273610822,542721253.4500,2,5.105500,1,-2.970300,30.790707,0.772306,0.354583,-58.318719,0
2024-11-13,sh.600567,1.9400000000,1.9700000000,1.8800000000,1.9200000000,1.9600000000,230076392,440065890.4000,2,4.293100,1,-2.040800,30.162326,0.756544,0.347347,-57.128541,0
2024-11-14,sh.600567,1.9100000000,1.9200000000,1.8500000000,1.8600000000,1.9200000000,166515237,313301915.2500,2,3.107100,1,-3.125000,29.219753,0.732902,0.336492,-55.343274,0
2024-11-15,sh.600567,1.8500000000,1.8800000000,1.8100000000,1.8200000000,1.8600000000,159724672,295060638.7800,2,2.980400,1,-2.150500,28.591371,0.717141,0.329256,-54.153096,0
2024-11-18,sh.600567,1.8600000000,1.9400000000,1.8500000000,1.9000000000,1.8200000000,307668067,584865744.6000,2,5.741000,1,4.395600,29.848135,0.748664,0.343729,-56.533452,0
2024-11-19,sh.600567,1.8900000000,1.8900000000,1.8100000000,1.8700000000,1.9000000000,213228018,395015557.4500,2,3.978700,1,-1.578900,29.376848,0.736843,0.338301,-55.640819,0
2024-11-20,sh.600567,1.8600000000,1.9100000000,1.8500000000,1.9000000000,1.8700000000,205832759,388437547.7100,2,3.840800,1,1.604300,29.848135,0.748664,0.343729,-56.533452,0
2024-11-21,sh.600567,1.8900000000,1.9100000000,1.8500000000,1.8700000000,1.9000000000,127370050,238998938.1600,2,2.376700,1,-1.578900,29.376848,0.736843,0.338301,-55.640819,0
2024-11-22,sh.600567,1.8600000000,1.9000000000,1.8200000000,1.8200000000,1.8700000000,176283474,327966196.7900,2,3.222000,1,-2.673800,29.189190,0.732136,0.336140,-55.285388,0
2024-11-25,sh.600567,1.8100000000,1.8300000000,1.7700000000,1.8100000000,1.8200000000,141667783,254644895.2900,2,2.589300,1,-0.549500,29.028810,0.728113,0.334293,-54.981622,0
